itemname,category,year,month,itemunit,itemvalue
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,110,1,ug/m3,0.02
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,110,1,ug/m3,51.51
環保署空氣品質一般測站臭氧濃度,空氣品質保護,110,1,ppm,0.051
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,110,1,ppm,0.014
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,110,1,ppm,0.39
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,110,1,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,110,1,ug/m3,41.3
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,110,1,ug/m3,20.03
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,110,1,%,92.69
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,110,1,%,0
AQI>100站日數比率,空氣品質保護,110,1,%,16.18
環保專業人員合格證書有效張數,其他環保統計,110,2,張,239623
環保人員訓練人次,其他環保統計,110,2,人次,610
環保署環境影響評估報告書完成審查件數,其他環保統計,110,2,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,110,2,件,4
環保署環境影響說明書完成審查件數,其他環保統計,110,2,件,0
環保署環境影響說明書應處理件數,其他環保統計,110,2,件,15
污染源稽查實收罰款金額,其他環保統計,110,2,千元,77560
污染源稽查罰款次數,其他環保統計,110,2,次,11401
污染源稽查次數,其他環保統計,110,2,次,87855
其他對象之公害陳情案件數,公害陳情,110,2,件,4472
一般居民之公害陳情案件數,公害陳情,110,2,件,8327
交通工具之公害陳情案件數,公害陳情,110,2,件,141
營建工程之公害陳情案件數,公害陳情,110,2,件,1778
工業之公害陳情案件數,公害陳情,110,2,件,2786
商業之公害陳情案件數,公害陳情,110,2,件,4284
機關團體學校醫院之公害陳情案件數,公害陳情,110,2,件,140
其他污染公害陳情案件數,公害陳情,110,2,件,80
異味污染物公害陳情案件數,公害陳情,110,2,件,6907
廢棄物及環境衛生公害陳情案件數,公害陳情,110,2,件,6048
噪音公害陳情案件數,公害陳情,110,2,件,7611
水污染公害陳情案件數,公害陳情,110,2,件,527
空氣污染公害陳情案件數,公害陳情,110,2,件,755
公害陳情案件總數,公害陳情,110,2,件,21928
自來水檢驗不合格率,環境衛生及毒化物管理,110,2,%,0
垃圾焚化廠焚化(處理)量,廢棄物管理,110,2,公噸,517232
垃圾焚化廠進廠量,廢棄物管理,110,2,公噸,527317
一般廢棄物回收率,廢棄物管理,110,2,%,58.04
衛生掩埋量,廢棄物管理,110,2,公噸,7611
焚化量,廢棄物管理,110,2,公噸,291208
回收再利用量,廢棄物管理,110,2,公噸,458560
一般廢棄物處理量,廢棄物管理,110,2,公噸,757378
平均每人每日廚餘回收量,廢棄物管理,110,2,公斤,0.062
平均每人每日一般廢棄物產生量,廢棄物管理,110,2,公斤,1.198
廚餘回收量,廢棄物管理,110,2,公噸,40767
資源回收量,廢棄物管理,110,2,公噸,417793
一般垃圾量,廢棄物管理,110,2,公噸,330413
一般廢棄物產生量,廢棄物管理,110,2,公噸,790062
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,110,2,公噸/平方公里/月,3.21
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,110,2,ug/m3,0.02
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,110,2,ug/m3,70.86
環保署空氣品質一般測站臭氧濃度,空氣品質保護,110,2,ppm,0.06
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,110,2,ppm,0.013
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,110,2,ppm,0.37
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,110,2,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,110,2,ug/m3,45.4
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,110,2,ug/m3,22.82
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,110,2,%,83.41
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,110,2,%,0
AQI>100站日數比率,空氣品質保護,110,2,%,26.9
環保專業人員合格證書有效張數,其他環保統計,110,3,張,240012
環保人員訓練人次,其他環保統計,110,3,人次,2160
環保署環境影響評估報告書完成審查件數,其他環保統計,110,3,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,110,3,件,5
環保署環境影響說明書完成審查件數,其他環保統計,110,3,件,0
環保署環境影響說明書應處理件數,其他環保統計,110,3,件,16
污染源稽查實收罰款金額,其他環保統計,110,3,千元,94146
污染源稽查罰款次數,其他環保統計,110,3,次,26579
污染源稽查次數,其他環保統計,110,3,次,112308
其他對象之公害陳情案件數,公害陳情,110,3,件,5047
一般居民之公害陳情案件數,公害陳情,110,3,件,9454
交通工具之公害陳情案件數,公害陳情,110,3,件,183
營建工程之公害陳情案件數,公害陳情,110,3,件,2848
工業之公害陳情案件數,公害陳情,110,3,件,4017
商業之公害陳情案件數,公害陳情,110,3,件,4906
機關團體學校醫院之公害陳情案件數,公害陳情,110,3,件,251
其他污染公害陳情案件數,公害陳情,110,3,件,129
異味污染物公害陳情案件數,公害陳情,110,3,件,7718
廢棄物及環境衛生公害陳情案件數,公害陳情,110,3,件,7279
噪音公害陳情案件數,公害陳情,110,3,件,9865
水污染公害陳情案件數,公害陳情,110,3,件,646
空氣污染公害陳情案件數,公害陳情,110,3,件,1069
公害陳情案件總數,公害陳情,110,3,件,26706
自來水檢驗不合格率,環境衛生及毒化物管理,110,3,%,0
垃圾焚化廠焚化(處理)量,廢棄物管理,110,3,公噸,508814
垃圾焚化廠進廠量,廢棄物管理,110,3,公噸,526292
一般廢棄物回收率,廢棄物管理,110,3,%,62.68
衛生掩埋量,廢棄物管理,110,3,公噸,7962
焚化量,廢棄物管理,110,3,公噸,292740
回收再利用量,廢棄物管理,110,3,公噸,536049
一般廢棄物處理量,廢棄物管理,110,3,公噸,836751
平均每人每日廚餘回收量,廢棄物管理,110,3,公斤,0.06
平均每人每日一般廢棄物產生量,廢棄物管理,110,3,公斤,1.172
廚餘回收量,廢棄物管理,110,3,公噸,43974
資源回收量,廢棄物管理,110,3,公噸,492074
一般垃圾量,廢棄物管理,110,3,公噸,318031
一般廢棄物產生量,廢棄物管理,110,3,公噸,855210
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,110,3,公噸/平方公里/月,3.49
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,110,3,ug/m3,0.02
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,110,3,ug/m3,63.42
環保署空氣品質一般測站臭氧濃度,空氣品質保護,110,3,ppm,0.056
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,110,3,ppm,0.014
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,110,3,ppm,0.4
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,110,3,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,110,3,ug/m3,45.2
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,110,3,ug/m3,23.32
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,110,3,%,87.59
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,110,3,%,0
AQI>100站日數比率,空氣品質保護,110,3,%,21.31
環保專業人員合格證書有效張數,其他環保統計,110,4,張,240985
環保人員訓練人次,其他環保統計,110,4,人次,1983
環保署環境影響評估報告書完成審查件數,其他環保統計,110,4,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,110,4,件,6
環保署環境影響說明書完成審查件數,其他環保統計,110,4,件,2
環保署環境影響說明書應處理件數,其他環保統計,110,4,件,16
污染源稽查實收罰款金額,其他環保統計,110,4,千元,82401
污染源稽查罰款次數,其他環保統計,110,4,次,25415
污染源稽查次數,其他環保統計,110,4,次,89920
其他對象之公害陳情案件數,公害陳情,110,4,件,5521
一般居民之公害陳情案件數,公害陳情,110,4,件,8927
交通工具之公害陳情案件數,公害陳情,110,4,件,175
營建工程之公害陳情案件數,公害陳情,110,4,件,3151
工業之公害陳情案件數,公害陳情,110,4,件,4084
商業之公害陳情案件數,公害陳情,110,4,件,4470
機關團體學校醫院之公害陳情案件數,公害陳情,110,4,件,202
其他污染公害陳情案件數,公害陳情,110,4,件,126
異味污染物公害陳情案件數,公害陳情,110,4,件,7469
廢棄物及環境衛生公害陳情案件數,公害陳情,110,4,件,7457
噪音公害陳情案件數,公害陳情,110,4,件,9722
水污染公害陳情案件數,公害陳情,110,4,件,683
空氣污染公害陳情案件數,公害陳情,110,4,件,1073
公害陳情案件總數,公害陳情,110,4,件,26530
自來水檢驗不合格率,環境衛生及毒化物管理,110,4,%,0.35
垃圾焚化廠焚化(處理)量,廢棄物管理,110,4,公噸,477060
垃圾焚化廠進廠量,廢棄物管理,110,4,公噸,496464
一般廢棄物回收率,廢棄物管理,110,4,%,61.21
衛生掩埋量,廢棄物管理,110,4,公噸,10196
焚化量,廢棄物管理,110,4,公噸,272440
回收再利用量,廢棄物管理,110,4,公噸,498351
一般廢棄物處理量,廢棄物管理,110,4,公噸,780987
平均每人每日廚餘回收量,廢棄物管理,110,4,公斤,0.062
平均每人每日一般廢棄物產生量,廢棄物管理,110,4,公斤,1.154
廚餘回收量,廢棄物管理,110,4,公噸,43808
資源回收量,廢棄物管理,110,4,公噸,454543
一般垃圾量,廢棄物管理,110,4,公噸,314650
一般廢棄物產生量,廢棄物管理,110,4,公噸,814128
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,110,4,公噸/平方公里/月,3.67
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,110,4,ug/m3,0.02
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,110,4,ug/m3,57.55
環保署空氣品質一般測站臭氧濃度,空氣品質保護,110,4,ppm,0.063
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,110,4,ppm,0.011
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,110,4,ppm,0.32
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,110,4,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,110,4,ug/m3,38.4
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,110,4,ug/m3,16.96
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,110,4,%,7.17
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,110,4,%,0
AQI>100站日數比率,空氣品質保護,110,4,%,15.5
環保專業人員合格證書有效張數,其他環保統計,110,5,張,241221
環保人員訓練人次,其他環保統計,110,5,人次,1160
環保署環境影響評估報告書完成審查件數,其他環保統計,110,5,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,110,5,件,6
環保署環境影響說明書完成審查件數,其他環保統計,110,5,件,1
環保署環境影響說明書應處理件數,其他環保統計,110,5,件,15
污染源稽查實收罰款金額,其他環保統計,110,5,千元,101083
污染源稽查罰款次數,其他環保統計,110,5,次,21951
污染源稽查次數,其他環保統計,110,5,次,85765
其他對象之公害陳情案件數,公害陳情,110,5,件,5109
一般居民之公害陳情案件數,公害陳情,110,5,件,9979
交通工具之公害陳情案件數,公害陳情,110,5,件,166
營建工程之公害陳情案件數,公害陳情,110,5,件,3211
工業之公害陳情案件數,公害陳情,110,5,件,3370
商業之公害陳情案件數,公害陳情,110,5,件,3390
機關團體學校醫院之公害陳情案件數,公害陳情,110,5,件,168
其他污染公害陳情案件數,公害陳情,110,5,件,153
異味污染物公害陳情案件數,公害陳情,110,5,件,7378
廢棄物及環境衛生公害陳情案件數,公害陳情,110,5,件,8099
噪音公害陳情案件數,公害陳情,110,5,件,7850
水污染公害陳情案件數,公害陳情,110,5,件,722
空氣污染公害陳情案件數,公害陳情,110,5,件,1191
公害陳情案件總數,公害陳情,110,5,件,25393
自來水檢驗不合格率,環境衛生及毒化物管理,110,5,%,0
垃圾焚化廠焚化(處理)量,廢棄物管理,110,5,公噸,514246
垃圾焚化廠進廠量,廢棄物管理,110,5,公噸,522639
一般廢棄物回收率,廢棄物管理,110,5,%,60.9
衛生掩埋量,廢棄物管理,110,5,公噸,8111
焚化量,廢棄物管理,110,5,公噸,291794
回收再利用量,廢棄物管理,110,5,公噸,515924
一般廢棄物處理量,廢棄物管理,110,5,公噸,815829
平均每人每日廚餘回收量,廢棄物管理,110,5,公斤,0.06
平均每人每日一般廢棄物產生量,廢棄物管理,110,5,公斤,1.163
廚餘回收量,廢棄物管理,110,5,公噸,43733
資源回收量,廢棄物管理,110,5,公噸,472192
一般垃圾量,廢棄物管理,110,5,公噸,330183
一般廢棄物產生量,廢棄物管理,110,5,公噸,847231
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,110,5,公噸/平方公里/月,3.12
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,110,5,ug/m3,0.01
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,110,5,ug/m3,43.68
環保署空氣品質一般測站臭氧濃度,空氣品質保護,110,5,ppm,0.051
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,110,5,ppm,0.009
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,110,5,ppm,0.24
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,110,5,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,110,5,ug/m3,26.5
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,110,5,ug/m3,11.93
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,110,5,%,5.56
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,110,5,%,0
AQI>100站日數比率,空氣品質保護,110,5,%,4.84
環保專業人員合格證書有效張數,其他環保統計,110,6,張,241281
環保人員訓練人次,其他環保統計,110,6,人次,63
環保署環境影響評估報告書完成審查件數,其他環保統計,110,6,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,110,6,件,6
環保署環境影響說明書完成審查件數,其他環保統計,110,6,件,0
環保署環境影響說明書應處理件數,其他環保統計,110,6,件,16
污染源稽查實收罰款金額,其他環保統計,110,6,千元,86149
污染源稽查罰款次數,其他環保統計,110,6,次,18116
污染源稽查次數,其他環保統計,110,6,次,68450
其他對象之公害陳情案件數,公害陳情,110,6,件,3642
一般居民之公害陳情案件數,公害陳情,110,6,件,6806
交通工具之公害陳情案件數,公害陳情,110,6,件,145
營建工程之公害陳情案件數,公害陳情,110,6,件,2640
工業之公害陳情案件數,公害陳情,110,6,件,2969
商業之公害陳情案件數,公害陳情,110,6,件,2139
機關團體學校醫院之公害陳情案件數,公害陳情,110,6,件,109
其他污染公害陳情案件數,公害陳情,110,6,件,142
異味污染物公害陳情案件數,公害陳情,110,6,件,5227
廢棄物及環境衛生公害陳情案件數,公害陳情,110,6,件,5981
噪音公害陳情案件數,公害陳情,110,6,件,5974
水污染公害陳情案件數,公害陳情,110,6,件,505
空氣污染公害陳情案件數,公害陳情,110,6,件,621
公害陳情案件總數,公害陳情,110,6,件,18450
自來水檢驗不合格率,環境衛生及毒化物管理,110,6,%,0
垃圾焚化廠焚化(處理)量,廢棄物管理,110,6,公噸,572197
垃圾焚化廠進廠量,廢棄物管理,110,6,公噸,548045
一般廢棄物回收率,廢棄物管理,110,6,%,60.47
衛生掩埋量,廢棄物管理,110,6,公噸,7801
焚化量,廢棄物管理,110,6,公噸,303178
回收再利用量,廢棄物管理,110,6,公噸,506376
一般廢棄物處理量,廢棄物管理,110,6,公噸,817355
平均每人每日廚餘回收量,廢棄物管理,110,6,公斤,0.057
平均每人每日一般廢棄物產生量,廢棄物管理,110,6,公斤,1.188
廚餘回收量,廢棄物管理,110,6,公噸,39991
資源回收量,廢棄物管理,110,6,公噸,466385
一般垃圾量,廢棄物管理,110,6,公噸,329940
一般廢棄物產生量,廢棄物管理,110,6,公噸,837390
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,110,6,公噸/平方公里/月,2.69
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,110,6,ug/m3,0.01
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,110,6,ug/m3,28.85
環保署空氣品質一般測站臭氧濃度,空氣品質保護,110,6,ppm,0.045
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,110,6,ppm,0.007
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,110,6,ppm,0.19
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,110,6,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,110,6,ug/m3,17.6
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,110,6,ug/m3,7.74
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,110,6,%,0
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,110,6,%,0
AQI>100站日數比率,空氣品質保護,110,6,%,0.28
環保專業人員合格證書有效張數,其他環保統計,110,7,張,241288
環保人員訓練人次,其他環保統計,110,7,人次,889
環保署環境影響評估報告書完成審查件數,其他環保統計,110,7,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,110,7,件,7
環保署環境影響說明書完成審查件數,其他環保統計,110,7,件,3
環保署環境影響說明書應處理件數,其他環保統計,110,7,件,16
污染源稽查實收罰款金額,其他環保統計,110,7,千元,99988
污染源稽查罰款次數,其他環保統計,110,7,次,20391
污染源稽查次數,其他環保統計,110,7,次,78862
其他對象之公害陳情案件數,公害陳情,110,7,件,4150
一般居民之公害陳情案件數,公害陳情,110,7,件,8174
交通工具之公害陳情案件數,公害陳情,110,7,件,143
營建工程之公害陳情案件數,公害陳情,110,7,件,2791
工業之公害陳情案件數,公害陳情,110,7,件,2978
商業之公害陳情案件數,公害陳情,110,7,件,2572
機關團體學校醫院之公害陳情案件數,公害陳情,110,7,件,105
其他污染公害陳情案件數,公害陳情,110,7,件,140
異味污染物公害陳情案件數,公害陳情,110,7,件,6400
廢棄物及環境衛生公害陳情案件數,公害陳情,110,7,件,7025
噪音公害陳情案件數,公害陳情,110,7,件,6102
水污染公害陳情案件數,公害陳情,110,7,件,518
空氣污染公害陳情案件數,公害陳情,110,7,件,728
公害陳情案件總數,公害陳情,110,7,件,20913
自來水檢驗不合格率,環境衛生及毒化物管理,110,7,%,0
垃圾焚化廠焚化(處理)量,廢棄物管理,110,7,公噸,561510
垃圾焚化廠進廠量,廢棄物管理,110,7,公噸,576569
一般廢棄物回收率,廢棄物管理,110,7,%,59.68
衛生掩埋量,廢棄物管理,110,7,公噸,9953
焚化量,廢棄物管理,110,7,公噸,318741
回收再利用量,廢棄物管理,110,7,公噸,513012
一般廢棄物處理量,廢棄物管理,110,7,公噸,841706
平均每人每日廚餘回收量,廢棄物管理,110,7,公斤,0.057
平均每人每日一般廢棄物產生量,廢棄物管理,110,7,公斤,1.181
廚餘回收量,廢棄物管理,110,7,公噸,41412
資源回收量,廢棄物管理,110,7,公噸,471600
一般垃圾量,廢棄物管理,110,7,公噸,345450
一般廢棄物產生量,廢棄物管理,110,7,公噸,859562
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,110,7,公噸/平方公里/月,3.13
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,110,7,ug/m3,0.01
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,110,7,ug/m3,29.24
環保署空氣品質一般測站臭氧濃度,空氣品質保護,110,7,ppm,0.046
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,110,7,ppm,0.007
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,110,7,ppm,0.16
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,110,7,ppm,0.001
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,110,7,ug/m3,19.4
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,110,7,ug/m3,8.62
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,110,7,%,0
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,110,7,%,0
AQI>100站日數比率,空氣品質保護,110,7,%,1.24
環保專業人員合格證書有效張數,其他環保統計,110,8,張,241301
環保人員訓練人次,其他環保統計,110,8,人次,1886
環保署環境影響評估報告書完成審查件數,其他環保統計,110,8,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,110,8,件,8
環保署環境影響說明書完成審查件數,其他環保統計,110,8,件,1
環保署環境影響說明書應處理件數,其他環保統計,110,8,件,18
污染源稽查實收罰款金額,其他環保統計,110,8,千元,99838
污染源稽查罰款次數,其他環保統計,110,8,次,18860
污染源稽查次數,其他環保統計,110,8,次,86290
其他對象之公害陳情案件數,公害陳情,110,8,件,4441
一般居民之公害陳情案件數,公害陳情,110,8,件,7951
交通工具之公害陳情案件數,公害陳情,110,8,件,161
營建工程之公害陳情案件數,公害陳情,110,8,件,2293
工業之公害陳情案件數,公害陳情,110,8,件,3041
商業之公害陳情案件數,公害陳情,110,8,件,3218
機關團體學校醫院之公害陳情案件數,公害陳情,110,8,件,137
其他污染公害陳情案件數,公害陳情,110,8,件,159
異味污染物公害陳情案件數,公害陳情,110,8,件,6884
廢棄物及環境衛生公害陳情案件數,公害陳情,110,8,件,6906
噪音公害陳情案件數,公害陳情,110,8,件,6138
水污染公害陳情案件數,公害陳情,110,8,件,542
空氣污染公害陳情案件數,公害陳情,110,8,件,613
公害陳情案件總數,公害陳情,110,8,件,21242
自來水檢驗不合格率,環境衛生及毒化物管理,110,8,%,0
垃圾焚化廠焚化(處理)量,廢棄物管理,110,8,公噸,561568
垃圾焚化廠進廠量,廢棄物管理,110,8,公噸,569438
一般廢棄物回收率,廢棄物管理,110,8,%,61.91
衛生掩埋量,廢棄物管理,110,8,公噸,119984
焚化量,廢棄物管理,110,8,公噸,318132
回收再利用量,廢棄物管理,110,8,公噸,542277
